Id,Article Link,Text
1,https://ne.wikipedia.org/wiki/%E0%A4%AE%E0%A5%81%E0%A4%96%E0%A5%8D%E0%A4%AF_%E0%A4%AA%E0%A5%83%E0%A4%B7%E0%A5%8D%E0%A4%A0#bodyContent,"यो एक स्वतन्त्रविश्वकोशहो जसलाईसबैले सम्पादन गर्न सक्छन्।नेपाली भाषामा कुल३१,३५० लेखहरूसङ्ग्रहित छन्। देवनागरी लिपिअथवानागरी लिपिबायाँ देखि दायाँ सम्म लेखिनेअक्षरात्मक लिपिमा आधारित एकप्राचीन ब्राह्मी लिपिहो। यसको प्रयोगभारतीय उपमहाद्वीपमा हुने गर्दछ। यसको विकासप्राचीन भारतमा पहिलो देखि चौथो शताब्दीको बीचमा भएको थियो भने यसको प्रयोग सातौँ शताब्दी देखी हुँदै आएको छ। देवनागरी लिपिमा, ४७ वटावर्णहरू हुन्छन् जसमा १४ वटास्वरवर्णर ३३ वटाव्यञ्जनवर्णहुन्छन्। यो संसारमा सबैभन्दा बढी प्रयोग हुने लिपि मध्ये चौथो हो जहा यस लिपिमा १२० भन्दा बढी भाषाहरू लेखिन्छ। यो लिपिनेपालरभारत गणतन्त्रको आधिकारिक लिपिहरूमध्ये एक हो। घरपालुवा टर्कीएउटा ठूलो घरपालुवाचराहो । योटर्कीको एक प्रजातीजंगली टर्कीको विकसित वंश हो... यो विकिपिडियानेपालीमा लेखिएको छ।अन्य भाषामा रहेका विकिपिडियाहरू तल सूचीबद्ध देख्न सक्नुहुन्छ।"
2,https://ne.wikipedia.org/wiki/%E0%A4%B5%E0%A4%BF%E0%A4%B6%E0%A5%87%E0%A4%B7:Search,यो पृष्ठले सधैँ सानो फन्ट साइज प्रयोग गर्दछ
3,https://ne.wikipedia.org/wiki/%E0%A4%AE%E0%A5%81%E0%A4%96%E0%A5%8D%E0%A4%AF_%E0%A4%AA%E0%A5%83%E0%A4%B7%E0%A5%8D%E0%A4%A0,"यो एक स्वतन्त्रविश्वकोशहो जसलाईसबैले सम्पादन गर्न सक्छन्।नेपाली भाषामा कुल३१,३५० लेखहरूसङ्ग्रहित छन्। देवनागरी लिपिअथवानागरी लिपिबायाँ देखि दायाँ सम्म लेखिनेअक्षरात्मक लिपिमा आधारित एकप्राचीन ब्राह्मी लिपिहो। यसको प्रयोगभारतीय उपमहाद्वीपमा हुने गर्दछ। यसको विकासप्राचीन भारतमा पहिलो देखि चौथो शताब्दीको बीचमा भएको थियो भने यसको प्रयोग सातौँ शताब्दी देखी हुँदै आएको छ। देवनागरी लिपिमा, ४७ वटावर्णहरू हुन्छन् जसमा १४ वटास्वरवर्णर ३३ वटाव्यञ्जनवर्णहुन्छन्। यो संसारमा सबैभन्दा बढी प्रयोग हुने लिपि मध्ये चौथो हो जहा यस लिपिमा १२० भन्दा बढी भाषाहरू लेखिन्छ। यो लिपिनेपालरभारत गणतन्त्रको आधिकारिक लिपिहरूमध्ये एक हो। घरपालुवा टर्कीएउटा ठूलो घरपालुवाचराहो । योटर्कीको एक प्रजातीजंगली टर्कीको विकसित वंश हो... यो विकिपिडियानेपालीमा लेखिएको छ।अन्य भाषामा रहेका विकिपिडियाहरू तल सूचीबद्ध देख्न सक्नुहुन्छ।"
4,https://ne.wikipedia.org/wiki/%E0%A4%B5%E0%A4%BE%E0%A4%B0%E0%A5%8D%E0%A4%A4%E0%A4%BE%E0%A4%B2%E0%A4%BE%E0%A4%AA:%E0%A4%AE%E0%A5%81%E0%A4%96%E0%A5%8D%E0%A4%AF_%E0%A4%AA%E0%A5%83%E0%A4%B7%E0%A5%8D%E0%A4%A0,लिवाली समूह बारे किरण ह्योंगो मिति विवरण रकम बाँकी
5,https://ne.wikipedia.org/wiki/%E0%A4%B5%E0%A4%BF%E0%A4%95%E0%A4%BF%E0%A4%AA%E0%A4%BF%E0%A4%A1%E0%A4%BF%E0%A4%AF%E0%A4%BE,विकिपिडिया लगायत विभिन्न विकी परियोजनाहरूलाई प्रवर्द्धन गर्न तथा तिनलाई सहयोग गर्नका साथै अन्य स्रोत सामग्रीहरूको व्यवस्था गर्नका लागिविकिमिडिया फाउन्डेसननामको संस्था कार्यरत रहेको छ। त्यसको नेपाली संस्करणको रूपमाविकिमिडिया नेपालनामक संस्था स्थापनाको लागि प्रस्ताव गरी प्रक्रिया अघि बढाइएको थियो। यसलेनेपालमा बोलिने प्रमुख भाषाका विकिहरूको प्रवर्द्धन तथा विकासका लागि सहयोग गर्दछ। यस संस्थाले कुनैपनि लेखमानेपालसम्बन्धित विवाद आइपरेमा त्यसको निवारण गर्ने कार्य समेत गर्दछ।
6,https://ne.wikipedia.org/wiki/%E0%A4%B5%E0%A4%BF%E0%A4%95%E0%A4%BF%E0%A4%AA%E0%A4%BF%E0%A4%A1%E0%A4%BF%E0%A4%AF%E0%A4%BE:%E0%A4%B8%E0%A5%8D%E0%A4%B5%E0%A4%B6%E0%A4%BF%E0%A4%95%E0%A5%8D%E0%A4%B7%E0%A4%BE,"सम्पादनकसरी सम्पादन गर्ने रूपरंगविकिपिडियाको रूपरंग सन्दर्भ र स्रोतसन्दर्भ र स्रोत कसरी थप्ने वार्तालाप पृष्ठविकिपिडियाको वार्तालाप पृष्ठ ध्यान राख्नुहोस्विकिपिडियामा सम्पादन गर्दा केहि कुराहरूलाई सदैव ध्यानमा राख्नुहोस। पंजीकरणपंजीकरण कसरी गर्ने विकिपिडियाधेरै सदस्यहरूका सहयोगले बनेको एक स्वतन्त्र ज्ञानकोष हो जसमातपाईंआफ्नो योगदान सजिलैसित दिन सक्नुहुन्छ । यो पाठले तपाईंलाई विकिपिडिया योगदानकर्ता बन्नमा सहायता गर्नेछ । आउनुहोस, सम्पादनका बारेमा सिकौं !"
7,https://ne.wikipedia.org/wiki/%E0%A4%A8%E0%A5%87%E0%A4%AA%E0%A4%BE%E0%A4%B2%E0%A5%80_%E0%A4%AD%E0%A4%BE%E0%A4%B7%E0%A4%BE,"नेपाली भाषाएकआर्य भाषाहो जुनदक्षिण एसियाकोहिमालय क्षेत्रमा बोलिन्छ। योनेपालको आधिकारिक, रसबैभन्दा व्यापक रूपमा बोलिने भाषाहो, जहाँ यसलेसम्पर्क भाषाको रूपमा पनि काम गर्दछ।भारतीय राज्यसिक्किमरपश्चिम बङ्गालकोगोर्खाल्यान्ड क्षेत्रीय प्रशासनमा नेपाली भाषाको आधिकारिक हैसियत छ रअरुणाचल प्रदेश,असम,हिमाचल प्रदेश,मणिपुर,मेघालय,मिजोरमरउत्तराखण्डराज्यहरूमा पनि नेपाली बोल्नेहरूको उल्लेखनीय सङ्ख्या छ। नेपाली भाषाभुटानको लगभगएक चौथाई जनसङ्ख्या द्वारा बोलिन्छ।म्यानमारमा यो भाषाबर्मेली नेपालीले बोल्छन्।मध्यपूर्व,ब्रुनाई,अस्ट्रेलियार विश्वभरका विदेशमा रहेका नेपालीले पनि यो भाषा प्रयोग गर्छन्। नेपाली लगभग १.६ करोडमातृभाषीहरू र अर्को ९ लाख मानिसलेदोस्रो भाषाको रूपमा बोल्छन्। मौखिक नेपालीमा ३० वटा व्यञ्जन छन्। स्पर्शसङ्घर्षी नेपाली भाषादेवनागरी लिपिमा लेखिन्छ। नेपाली भाषाका विभिन्न भाषिकाहरू छन्। ती मध्ये केही यस प्रकारका छन्। विभिन्न दृष्टिकोणहरूबाट भाषामा गरिनेसुधारवा भाषाको नभई योजनाबद्ध ढङ्गले गरिने परिवर्तन नेपाली भाषामा पनि भएको छ। धारा १. सबै व्यक्तिहरू जन्मजात स्वतन्त्र हुन् ती सबैको समान अधिकार र महत्व छ। निजहरूमा विचार शक्ति र सद्विचार भएकोले निजहरूले आपसमा भातृत्वको भावनाबाट व्यवहार गर्नु पर्छ।"
8,https://ne.wikipedia.org/wiki/%E0%A4%B5%E0%A4%BF%E0%A4%B6%E0%A5%87%E0%A4%B7:Statistics,यो विकिपिडियानेपालीमा लेखिएको छ।अन्य भाषामा रहेका विकिपिडियाहरू तल सूचीबद्ध देख्न सक्नुहुन्छ।
9,https://ne.wikipedia.org/wiki/%E0%A4%A6%E0%A5%87%E0%A4%B5%E0%A4%A8%E0%A4%BE%E0%A4%97%E0%A4%B0%E0%A5%80_%E0%A4%B2%E0%A4%BF%E0%A4%AA%E0%A4%BF,"देवनागरीअथवानागरीबायाँ देखि दायाँ सम्म लेखिनेअक्षरात्मक लिपिमा आधारित एकप्राचीन ब्राह्मी लिपिहो। यसको प्रयोगभारतीय उपमहाद्वीपमा हुने गर्दछ। यसको विकासप्राचीन भारतमा पहिलो देखि चौथो शताब्दीको बीचमा भएको थियो भने यसको प्रयोग सातौँ शताब्दीदेखि हुँदै आएको छ। देवनागरी लिपिमा, ४७ वटावर्णहरू हुन्छन् जसमा १४ वटास्वरवर्णर ३३ वटाव्यञ्जनवर्णहुन्छन्। यो संसारमा सबैभन्दा बढी प्रयोग हुने लिपि मध्ये चौथो हो जहाँ यस लिपिमा १२० भन्दा बढी भाषाहरू लेखिन्छ। यो लिपिनेपालरभारत गणतन्त्रको आधिकारिक लिपिहरूमध्ये एक हो। मराठी,पाली,संस्कृत,हिन्दी,नेपाली,शेर्पा,प्राकृत,अपभ्रंश,अवधी,भोजपुरी,ब्रज भाषा,छत्तीसगढी,हरियाणवी,मगही,नागपुरी,राजस्थानी,भिली,डोगरी,मैथिली,कश्मीरी,कोङ्कणी,सिन्धी,बोडो,नेवारी,पन्जाबी,मुन्डारीरसन्थालीलगायतका भाषाहरूले देवनागरी लिपि एकमात्र लिपि वा दोस्रो लिपिको रूपमा प्रयोग गर्ने गर्दछन्। देवनागरी लिपिनन्दिनागरी लिपिसँग पनि मिल्दोजुल्दो रहेको छ जुनदक्षिण भारतका विभिन्न प्राचीनपाण्डुलिपिहरूमा भेट्ने गरिन्छ। यो विभिन्नदक्षिणपूर्वी एसियाली लिपिहरूसँग पनि सम्बन्धित छ। देवनागरी शब्दको उत्पत्ति प्राचीन शब्द नागरीबाट भएको थियो। फिसरका अनुसार, नागरी शब्दको सुरुवात ६३३ ईशापूर्वमा उत्तरपश्चिम भारतमा भएको थियो भने यो ११औँ शताब्दीमा, पूर्णरूपमा विकसित भएको थियो। यो संस्कृत साहित्यमा प्रयोग हुने प्रमुख लिपि समेत हो। देवनागरीभारत,नेपाल,तिब्बतरदक्षिणपूर्वी एसियाका लिपिहरूकोब्राह्मी परिवारको एक भाग हो। यो तेस्रो शताब्दी ईसापूर्वकोब्राह्मी लिपिको वंशज हो। योनागरी लिपिमा विकसित भएको थियो जसको फलस्वरूप देवनागरी रनन्दनगरीको जन्म भएको थियो। पछिल्लो लाई पहिलेमा गाभिनु पूर्व दुवैसंस्कृतलेख्न प्रयोग गरिन्थ्यो। संस्कृत,मराठी,हिन्दीर यसका उपभाषाहरू रकोङ्कणीलेख्नको लागि यसको परिणामी लिपि भारत भर व्यापक रूपमा अपनाइन्छ। प्राचीन भारतको विकासशील संस्कृत नागरी लिपिलाई प्रमाणित गर्ने केही प्रारम्भिक उपचित्रात्मक प्रमाणहरूको रूपमा शिलालेखहरू पहिलो देखि चौथो शताब्दीको बीचमागुजरातमा भेटिएको थियो। नागरी नामक लिपिका विविधता, देवनागरीको निकट, सर्वप्रथम संस्कृतमा प्रथम शताब्दी ईसापूर्वमा रुद्रदमन शिलालेखहरूबाट प्रमाणित गरिएको थियो जबकि देवनागरीको आधुनिक मानक रूप लगभग १००० ईसापूर्व देखि प्रयोग गर्न थालिएको थियो। तिब्बती साम्राज्यकोस्रोङ्चन गम्पोको शासनमा थन्मिथोन्मि सम्भोटलाई नेपाली राजकुमारीभृकुटीसँग विवाह वार्ता सुरु गर्न रतिब्बती भाषाको लागि उपयुक्तलेखन प्रणालीखोज्न नेपाल पठाइएको थियो। यसरी उनले कश्मीरमा प्रयोग गरिने नागरीमा आधारिततिब्बती लिपिको आविष्कार गरेका थिएँ। उनले संस्कृतमा नभएको ध्वनीका लागि ६ वटा नयाँ अक्षर थपेका थिएँ। इन्डोनेसिया,भियतनाम,जापानरपूर्वी एसियाका अन्य भागहरूमा ७औँ देखि १०औँ शताब्दीको बीचमासिद्धमजस्ता नागरीसँग नजिकको सम्बन्ध भएका अन्य लिपिहरू प्रयोगमा रहेका थिएँ। देवनागरीमा १२स्वरर ३४व्यञ्जनछन्। शून्य या एक या अधिक व्यञ्जनहरू र एक स्वरको मेलबाट एकअक्षरबन्दछ।"
10,https://ne.wikipedia.org/wiki/%E0%A4%85%E0%A4%95%E0%A5%8D%E0%A4%B7%E0%A4%B0%E0%A4%BE%E0%A4%A4%E0%A5%8D%E0%A4%AE%E0%A4%95_%E0%A4%B2%E0%A4%BF%E0%A4%AA%E0%A4%BF,विस्तार विस्तार
